epochs,seed,model_kind,date,daily_ic
3,7,xip_a:intensity_indexret,2024-10-24,0.25230769230769234
3,7,xip_a:intensity_indexret,2024-10-25,-0.09307692307692307
3,7,xip_a:intensity_indexret,2024-10-28,-0.1815384615384615
3,7,xip_a:intensity_indexret,2024-10-29,0.006153846153846154
3,7,xip_a:intensity_indexret,2024-10-30,-0.12153846153846154
3,7,xip_a:intensity_indexret,2024-10-31,-0.09230769230769231
3,7,xip_a:intensity_indexret,2024-11-01,0.019999999999999997
3,7,xip_a:intensity_indexret,2024-11-04,-0.05846153846153846
3,7,xip_a:intensity_indexret,2024-11-05,0.03230769230769231
3,7,xip_a:intensity_indexret,2024-11-06,0.16692307692307692
3,7,xip_a:intensity_indexret,2024-11-07,0.07999999999999999
3,7,xip_a:intensity_indexret,2024-11-08,-0.3661538461538461
3,7,xip_a:intensity_indexret,2024-11-11,-0.08538461538461539
3,7,xip_a:intensity_indexret,2024-11-12,-0.2915384615384616
3,7,xip_a:intensity_indexret,2024-11-13,-0.12692307692307694
3,7,xip_a:intensity_indexret,2024-11-14,0.2869230769230769
3,7,xip_a:intensity_indexret,2024-11-15,0.5346153846153846
3,7,xip_a:intensity_indexret,2024-11-18,0.32846153846153847
3,7,xip_a:intensity_indexret,2024-11-19,0.41000000000000003
3,7,xip_a:intensity_indexret,2024-11-20,0.3384615384615385
3,7,xip_a:intensity_indexret,2024-11-21,0.39307692307692305
3,7,xip_a:intensity_indexret,2024-11-22,0.2453846153846154
3,7,xip_a:intensity_indexret,2024-11-25,0.18307692307692305
3,7,xip_a:intensity_indexret,2024-11-26,0.052307692307692305
3,7,xip_a:intensity_indexret,2024-11-27,-0.023846153846153843
3,7,xip_a:intensity_indexret,2024-11-29,-0.3192307692307692
3,7,xip_a:intensity_indexret,2024-12-02,0.026153846153846153
3,7,xip_a:intensity_indexret,2024-12-03,-0.18076923076923077
3,7,xip_a:intensity_indexret,2024-12-04,0.17384615384615384
3,7,xip_a:intensity_indexret,2024-12-05,-0.07307692307692308
3,7,xip_a:intensity_indexret,2024-12-06,-0.04384615384615385
3,7,xip_a:intensity_indexret,2024-12-09,-0.36692307692307696
3,7,xip_a:intensity_indexret,2024-12-10,-0.4153846153846154
3,7,xip_a:intensity_indexret,2024-12-11,-0.06692307692307692
3,7,xip_a:intensity_indexret,2024-12-12,-0.08615384615384615
3,7,xip_a:intensity_indexret,2024-12-13,0.04076923076923076
3,7,xip_a:intensity_indexret,2024-12-16,0.2976923076923077
3,7,xip_a:intensity_indexret,2024-12-17,0.4084615384615385
3,7,xip_a:intensity_indexret,2024-12-18,0.40076923076923077
3,7,xip_a:intensity_indexret,2024-12-19,0.47846153846153844
3,7,xip_a:intensity_indexret,2024-12-20,0.3030769230769231
